gauge_id,gauge_name,last_data,trace_id,trace_name,alarm_id,alarm_name,alarm_type,threshold,severity,is_critical,source
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,38621,Rainfall 10 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,1482365,Rainfall 60 min window sum - Mirror,23180.0,1 hour Accumulated Threshold,Overflow,15.0,Low,False,threshold_config
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,1482365,Rainfall 60 min window sum - Mirror,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,38628,Rainfall 24 hr window sum,22954.0,Rain - RAWS @ GBI_threshold_alarm,Overflow,100.0,Medium,False,threshold_config
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,38628,Rainfall 24 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787209,Waikato - Rain - Wairamarama,2025-12-12,164156,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787210,Waikato - Rain - Waitanguru Rainfall,2025-12-12,164155,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787211,Waikato - Rain - Hodder East Rd Castle Rock Rainfall,2025-12-12,164154,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787212,Waikato - Rain - Matamata Aerodrome (#1).,2025-12-12,164153,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787213,Waikato - Rain - Pinnacles Rainfall,2025-12-12,164152,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787214,Waikato - Rain - Queens Head,2025-12-12,164151,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787215,Waikato - Rain - Bartons Corner Rd Br,2025-12-12,164150,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787216,Waikato - Rain - Kaimai Summit Rainfall,2025-12-12,164149,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787217,Waikato - Rain - Control Structure U/S,2025-12-12,164148,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787218,Waikato - Rain - Ruakiwi Rd Off SH22,2025-12-12,164147,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787219,Waikato - Rain - Maungakawa Rainfall,2025-12-12,164146,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787220,Waikato - Rain - Otewa,2025-10-28,164145,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787221,Waikato - Rain - Golden Cross Rainfall,2025-12-12,164144,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787222,Waikato - Rain - Karamu Walkway (Old Mountain Road),2025-12-12,164143,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787223,Waikato - Rain - Inferno Crater Weather Station,2025-12-12,164142,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787225,Waikato - Rain - Te Kuiti EWS,2025-12-12,164140,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787226,Waikato - Rain - Hauturu Trig Raingauge,2025-12-12,164139,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787227,Waikato - Rain - Wharekiri Rainfall,2025-12-12,164138,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787228,Waikato - Rain - Maukoro Landing Rd,2025-12-12,164137,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7787229,Waikato - Rain - Ngaroma Rainfall,2025-12-12,164136,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,1480738,10mm Drought Alarm,22556.0,648816_10mm Drought Alarm,Overflow,0.99,Medium,False,threshold_config
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,1480738,10mm Drought Alarm,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,1482844,Rainfall 7 days window sum,23254.0,648816_threshold_alarm,Overflow,180.0,Medium,False,threshold_config
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,1482844,Rainfall 7 days window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,1482389,Rainfall 60 min window sum - Mirror,23204.0,1 hour Accumulated Threshold,Overflow,15.0,Low,False,threshold_config
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,1482389,Rainfall 60 min window sum - Mirror,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,205987,Rainfall 60 min window sum,22768.0,648816_threshold_alarm,Overflow,25.0,Medium,False,threshold_config
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,205987,Rainfall 60 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,164765,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,205989,Rainfall 6 hr window sum,22636.0,648816_threshold_alarm,Overflow,50.0,Medium,False,threshold_config
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,205989,Rainfall 6 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,801885,Max TP108 ARI,14548.0,ARI Max Threshold,Overflow,5.0,High,False,threshold_config
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,801885,Max TP108 ARI,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,205986,Rainfall 30 min window sum,22833.0,648816_threshold_alarm_15mm,Overflow,15.0,Medium,False,threshold_config
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,205986,Rainfall 30 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,205991,Rainfall 24 hr window sum,22900.0,648816_threshold_alarm,Overflow,100.0,Medium,False,threshold_config
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,205991,Rainfall 24 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,205990,Rainfall 12 hr window sum,22706.0,648816_threshold_alarm,Overflow,70.0,Medium,False,threshold_config
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,205990,Rainfall 12 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,230482,Rainfall 30 second window sum,7767.0,2.5 mm,Overflow,2.49,Medium,True,threshold_config
7828280,ACC - Rain - Churchill Park Rainfall,2025-12-12,230482,Rainfall 30 second window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828282,ACC - Rain - Nihotupu @ Arataki Visitors Centre,2025-12-12,1480736,10mm Drought Alarm,22559.0,649514_10mm Drought Alarm,Overflow,0.99,Medium,False,threshold_config
7828282,ACC - Rain - Nihotupu @ Arataki Visitors Centre,2025-12-12,1480736,10mm Drought Alarm,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828282,ACC - Rain - Nihotupu @ Arataki Visitors Centre,2025-12-12,1482825,Rainfall 7 days window sum,23251.0,649514_threshold_alarm,Overflow,180.0,Medium,False,threshold_config
7828282,ACC - Rain - Nihotupu @ Arataki Visitors Centre,2025-12-12,1482825,Rainfall 7 days window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828282,ACC - Rain - Nihotupu @ Arataki Visitors Centre,2025-12-12,164767,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828282,ACC - Rain - Nihotupu @ Arataki Visitors Centre,2025-12-12,206007,Rainfall 60 min window sum,22770.0,649514_threshold_alarm,Overflow,25.0,Medium,False,threshold_config
7828282,ACC - Rain - Nihotupu @ Arataki Visitors Centre,2025-12-12,206007,Rainfall 60 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828282,ACC - Rain - Nihotupu @ Arataki Visitors Centre,2025-12-12,206010,Rainfall 12 hr window sum,22695.0,649514_threshold_alarm,Overflow,70.0,Medium,False,threshold_config
7828282,ACC - Rain - Nihotupu @ Arataki Visitors Centre,2025-12-12,206010,Rainfall 12 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
7828282,ACC - Rain - Nihotupu @ Arataki Visitors Centre,2025-12-12,206009,Rainfall 6 hr window sum,22635.0,649514_threshold_alarm,Overflow,50.0,Medium,False,threshold_config
7828282,ACC - Rain - Nihotupu @ Arataki Visitors Centre,2025-12-12,206009,Rainfall 6 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
